,name,food_link,drink_link
73,風のごとく,https://www.hotpepper.jp/strJ000655922/food/,https://www.hotpepper.jp/strJ000655922/drink/
74,炭火焼き鳥 個室ダイニング TAMAMIYA-たまみや- 定禅寺通り,https://www.hotpepper.jp/strJ000026668/food/,https://www.hotpepper.jp/strJ000026668/drink/
75,炭鮮　国分町店,https://www.hotpepper.jp/strJ000026749/food/,https://www.hotpepper.jp/strJ000026749/drink/
76,酒房　幸村,https://www.hotpepper.jp/strJ001019746/food/,https://www.hotpepper.jp/strJ001019746/drink/
77,囲酒夜 月天洋,https://www.hotpepper.jp/strJ000757387/food/,https://www.hotpepper.jp/strJ000757387/drink/
78,食べ放題＆完全貸切パーティ館　ONE COM（わんかん）,https://www.hotpepper.jp/strJ000039151/food/,https://www.hotpepper.jp/strJ000039151/drink/
79,酉や喜兵衛　Neo　国分町通り店,https://www.hotpepper.jp/strJ001145374/food/,https://www.hotpepper.jp/strJ001145374/drink/
80,ぶたと和いん,https://www.hotpepper.jp/strJ000973080/food/,https://www.hotpepper.jp/strJ000973080/drink/
81,居酒屋フレンチ『ranpu』2号店,https://www.hotpepper.jp/strJ001192884/food/,https://www.hotpepper.jp/strJ001192884/drink/
82,折衷Bar　シヅクトウヤ,https://www.hotpepper.jp/strJ000063402/food/,https://www.hotpepper.jp/strJ000063402/drink/
83,串カツ食べ飲み放題　串カツ屋　わっしょい,https://www.hotpepper.jp/strJ000961512/food/,https://www.hotpepper.jp/strJ000961512/drink/
84,大人たちの隠れ居酒屋　四葉,https://www.hotpepper.jp/strJ001108808/food/,https://www.hotpepper.jp/strJ001108808/drink/
85,武屋食堂　広瀬通り店,https://www.hotpepper.jp/strJ000662500/food/,https://www.hotpepper.jp/strJ000662500/drink/
86,祭居酒屋　みこし,https://www.hotpepper.jp/strJ000773147/food/,https://www.hotpepper.jp/strJ000773147/drink/
87,銀兵衛　(ぎんべえ),https://www.hotpepper.jp/strJ000278834/food/,https://www.hotpepper.jp/strJ000278834/drink/
88,RESTAURANT BAR ZIINO CLASSIC　（レストランバー　ジーノクラシック）,https://www.hotpepper.jp/strJ000101160/food/,https://www.hotpepper.jp/strJ000101160/drink/
89,活烏賊料理　旬の店　とよはし,https://www.hotpepper.jp/strJ000277078/food/,https://www.hotpepper.jp/strJ000277078/drink/
90,だんまや水産　定禅寺通店,https://www.hotpepper.jp/strJ000739658/food/,https://www.hotpepper.jp/strJ000739658/drink/
91,宮城の海の幸 山の幸 板前料理 晴れの日,https://www.hotpepper.jp/strJ000101135/food/,https://www.hotpepper.jp/strJ000101135/drink/
92,肉寿司　仙台国分町店,https://www.hotpepper.jp/strJ001135612/food/,https://www.hotpepper.jp/strJ001135612/drink/
